id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1462043665,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 2a Generación Full Hd,27193808,MLA352001,,40000.0,40000.0,,ARS,1,MLA6253547
MLA1877356464,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 2 3.ª Gen. Full Hd 1gb Ram 8gb.,180486592,MLA352001,,45000.0,45000.0,,ARS,1,MLA26197538
MLA1399520644,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4k 32gb A1842 Negro (usado),246369034,MLA352001,,400000.0,400000.0,,ARS,1,MLA22513404
MLA1913427140,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427  3.a Generación Full Hd 8gb Negro,1439744152,MLA352001,,60000.0,60000.0,,ARS,1,MLA6253545
MLA1474178905,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4k,480073619,MLA352001,,50000.0,50000.0,,ARS,2,MLA24589105
MLA1470131529,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv Hd A1625 De Voz 4.a Gen 2015 Full Hd 32gb,13779625,MLA352001,,150000.0,150000.0,,ARS,1,MLA6253543
MLA1419331631,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA, Apple Tv 1ª Gen Full Hd -olo Aparato - Enciende - No Envío,290356664,MLA352001,,25775.2,25775.2,,ARS,1,MLA6253549
MLA1911254292,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4k (wifi + Ethernet) A2843 4k 128gb Negro,77667444,MLA352001,,400000.0,400000.0,,ARS,1,MLA21015901
MLA1938425710,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 3,25327485,MLA352001,,38000.0,38000.0,,ARS,1,MLA43267365
MLA1781884668,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA, Apple Tv A1427 2.ª Generación ,70102362,MLA352001,,37081.98,37081.98,,ARS,1,MLA6253547
